CostumerID,WorkerID,ComplaintID,Date,Reason,DealtWith
1,4890,6864,17/03/1997,Broken window,NO
2,8815,4,27/04/1995,Wants to extend renting period,NO
3,57201,8,22/11/1987,Flat tire,YES
4,24,93500,11/09/1976,Wants to extend renting period,YES
5,44393,5,21/01/1950,Problem with insurance,NO
6,7333,1,20/03/1998,Complaint about a worker,YES
7,22,15766,29/09/1950,Unhappy costumer,YES
8,8918,422,29/05/1973,Car died,YES
9,63,958,13/08/1964,Wants to rent a car,YES
10,9,13332,14/01/1986,Problem with insurance,YES
11,6,16031,22/05/1970,Broken window,NO
12,6522,13,06/12/1990,Car died,NO
13,2396,287,09/09/1967,Problem with insurance,NO
14,8086,4,15/02/1972,Car died,YES
15,40,0,30/05/1970,Wants to rent a car,NO
16,549,7191,24/03/1988,Flat tire,YES
17,9,10,11/04/1967,Problem with insurance,NO
18,1515,15,24/04/1999,Weird noises,NO
19,16861,481,21/07/1957,Wants to rent a car,NO
20,0,7705,19/09/1972,Wants to update data,NO
21,31,71,07/02/1974,Unhappy costumer,YES
22,2628,81676,04/06/1957,Wants to extend renting period,YES
23,1352,0,17/03/1953,Wants to extend renting period,YES
24,50,3,15/05/1992,Problem with insurance,YES
25,2,69,20/06/1995,Wants to update data,YES
26,8603,16,15/11/1978,Complaint about a worker,YES
27,895,4,16/03/1987,Flat tire,NO
28,4447,586,18/06/1972,Weird noises,YES
29,56,74,18/10/1994,Problem with insurance,YES
30,5421,96214,19/05/1987,Battery died,YES
31,74538,2,25/05/1998,Unhappy costumer,YES
32,90,783,25/11/1959,Broken window,NO
33,1749,9586,17/11/1997,Weird noises,NO
34,51,262,30/01/1960,Problem with insurance,YES
35,7894,5,23/04/1965,Problem with insurance,NO
36,96557,23029,24/02/1950,Brakes are broken,YES
37,35,14,15/12/1959,Weird noises,YES
38,18,549,26/01/1974,Wants to extend renting period,YES
39,59,9650,18/06/1968,Brakes are broken,YES
40,68,255,27/08/1986,Wants to update data,YES
41,2,41084,23/09/1985,Problem with insurance,YES
42,7,927,18/01/1964,Wants to update data,YES
43,53,33327,16/02/1983,Broken window,NO
44,655,4575,23/03/1997,Flat tire,YES
45,7,28643,11/01/1999,Wants to update data,YES
46,165,8087,07/05/1957,Broken window,NO
47,263,62,04/01/1965,Problem with insurance,YES
48,7755,4782,01/07/1974,Flat tire,NO
49,5,876,06/03/1986,Battery died,NO
50,7,1541,15/01/1964,Complaint about a worker,YES
51,19956,887,04/08/1954,Wants to update data,NO
52,8,7,25/10/1971,Problem with insurance,YES
53,28,24657,30/09/1959,Unhappy costumer,YES
54,113,0,28/01/1996,Car died,NO
55,80,738,12/09/1966,Wants to extend renting period,YES
56,8,77,23/02/1993,Battery died,NO
57,50,29,03/03/1978,Battery died,YES
58,80937,6589,12/03/1998,Wants to extend renting period,YES
59,9608,798,30/11/1968,Problem with insurance,NO
60,6,2,13/08/1961,Wants to extend renting period,YES
61,113,7,21/04/1972,Unhappy costumer,YES
62,18,123,19/03/1971,Weird noises,NO
63,1,4,06/01/1983,Wants to rent a car,NO
64,74652,565,16/05/1959,Brakes are broken,NO
65,7409,7008,03/08/1966,Wants to update data,YES
66,1,28290,24/07/1982,Wants to rent a car,NO
67,417,1,01/08/1992,Weird noises,YES
68,95624,24,27/06/1956,Unhappy costumer,NO
69,60250,20271,04/12/1968,Brakes are broken,YES
70,67,3275,02/03/1974,Weird noises,NO
71,51435,8,26/05/1954,Car died,NO
72,54182,285,22/10/1977,Problem with insurance,NO
73,120,5,01/03/1975,Car died,NO
74,6,56792,16/08/1961,Wants to extend renting period,YES
75,8193,65480,15/06/1977,Wants to update data,YES
76,43,9,19/11/1992,Problem with insurance,YES
77,4,86,02/02/1975,Wants to update data,NO
78,4,61,09/11/1958,Broken window,NO
79,965,1773,05/10/1968,Flat tire,NO
80,734,60,15/09/1976,Complaint about a worker,NO
81,1,2,01/07/1992,Wants to extend renting period,NO
82,0,401,18/01/1953,Lights are out,YES
83,9,0,04/08/1955,Problem with insurance,YES
84,54601,91,17/06/1972,Problem with insurance,NO
85,1,928,09/07/1970,Complaint about a worker,YES
86,6,18091,26/12/1986,Flat tire,NO
87,8,4822,14/01/1990,Wants to update data,YES
88,46,523,17/04/1965,Wants to update data,NO
89,58972,77,02/05/1965,Car died,YES
90,4,6776,28/08/1967,Lights are out,YES
91,5346,3758,02/02/1968,Lights are out,YES
92,43611,23,06/07/1992,Wants to extend renting period,NO
93,871,28211,03/07/1952,Battery died,NO
94,716,4,05/04/1990,Wants to rent a car,NO
95,7,47,05/04/1950,Weird noises,YES
96,54,9,07/06/1971,Broken window,YES
97,255,96423,30/07/1992,Problem with insurance,YES
98,4297,0,27/08/1990,Battery died,YES
99,61700,6266,02/08/1953,Brakes are broken,YES
100,1,504,08/07/1988,Lights are out,NO
101,65490,94215,27/06/1968,Wants to rent a car,NO
102,6,68,25/04/1952,Wants to update data,YES
103,9,6,24/04/1957,Battery died,NO
104,3811,4750,14/01/1991,Wants to extend renting period,YES
105,44323,6770,02/08/1959,Battery died,NO
106,6168,1091,16/07/1988,Battery died,NO
107,46,6,22/09/1959,Weird noises,NO
108,90,919,28/10/1964,Broken window,NO
109,762,4,08/09/1993,Unhappy costumer,NO
110,36,1,15/03/1965,Flat tire,YES
111,5,6,18/04/1957,Wants to rent a car,NO
112,991,9,23/07/1959,Weird noises,YES
113,94638,8,01/03/1981,Complaint about a worker,NO
114,3502,87,23/11/1954,Wants to rent a car,NO
115,283,154,01/06/1996,Lights are out,NO
116,12639,2,26/09/1969,Wants to rent a car,NO
117,94317,814,07/03/1971,Car died,NO
118,80,2,08/08/1956,Brakes are broken,NO
119,5572,0,04/08/1964,Problem with insurance,NO
120,3911,7,12/06/1968,Wants to extend renting period,YES
121,2,6,19/07/1992,Wants to update data,NO
122,5,689,15/04/1986,Weird noises,NO
123,33,27,16/04/1986,Flat tire,YES
124,65674,6395,19/08/1962,Wants to update data,NO
125,8,0,27/08/1974,Complaint about a worker,YES
126,96,67732,02/02/1954,Broken window,NO
127,40386,412,15/07/1991,Wants to extend renting period,NO
128,16237,215,16/10/1964,Wants to rent a car,YES
129,711,7,06/04/1981,Flat tire,YES
130,364,81281,15/02/1961,Unhappy costumer,NO
131,8,4212,25/03/1962,Wants to update data,YES
132,0,66012,01/03/1975,Problem with insurance,NO
133,8,59,06/05/1977,Battery died,NO
134,98939,384,10/05/1994,Brakes are broken,YES
135,613,956,20/09/1954,Wants to rent a car,NO
136,944,7,08/09/1986,Problem with insurance,YES
137,65,131,05/09/1953,Unhappy costumer,YES
138,26602,462,16/01/1952,Lights are out,NO
139,5,2,03/11/1978,Lights are out,NO
140,56493,9035,26/01/1950,Car died,YES
141,43,70,12/12/1999,Wants to rent a car,NO
142,36,8,17/05/1971,Wants to update data,YES
143,116,4,27/11/1985,Wants to rent a car,YES
144,21750,0,05/06/1988,Wants to update data,NO
145,5579,662,30/08/1969,Complaint about a worker,YES
146,72283,65272,24/04/1989,Broken window,NO
147,844,52,16/06/1953,Wants to rent a car,NO
148,4,435,04/08/1958,Wants to extend renting period,NO
149,0,15969,21/02/1979,Car died,NO
150,322,8,14/07/1973,Wants to update data,YES
151,8524,8,25/07/1956,Wants to rent a car,NO
152,0,465,05/12/1988,Lights are out,NO
153,0,89,25/09/1989,Complaint about a worker,NO
154,89,67093,05/08/1965,Flat tire,YES
155,54,601,02/09/1987,Unhappy costumer,YES
156,9,99,21/02/1965,Wants to update data,YES
157,84,4,12/04/1958,Problem with insurance,YES
158,1169,41164,24/10/1996,Problem with insurance,NO
159,12,6,06/07/1957,Weird noises,YES
160,34,73,01/12/1996,Weird noises,NO
161,6,95,29/11/1964,Brakes are broken,YES
162,1790,70703,20/07/1968,Wants to update data,NO
163,45,8316,24/01/1964,Complaint about a worker,YES
164,228,6380,17/12/1974,Flat tire,YES
165,40930,811,05/08/1976,Wants to update data,NO
166,58,3,01/09/1995,Battery died,NO
167,3,8,30/03/1972,Wants to update data,YES
168,1570,1546,10/03/1999,Complaint about a worker,YES
169,522,77199,18/09/1999,Battery died,YES
170,9,0,11/03/1950,Battery died,YES
171,2205,6521,02/04/1975,Wants to extend renting period,YES
172,55,97772,26/06/1979,Wants to extend renting period,YES
173,94557,13,14/01/1969,Problem with insurance,YES
174,4,237,22/10/1977,Brakes are broken,NO
175,924,4,07/08/1984,Battery died,YES
176,1114,179,10/01/1958,Complaint about a worker,YES
177,67,5,05/05/1984,Brakes are broken,YES
178,98,50376,21/09/1997,Brakes are broken,YES
179,127,0,28/12/1968,Wants to extend renting period,NO
180,4621,0,25/10/1971,Problem with insurance,NO
181,5,55,19/10/1983,Lights are out,NO
182,92304,87,18/02/1982,Weird noises,NO
183,7528,6,09/12/1984,Car died,YES
184,3984,777,03/02/1950,Wants to update data,NO
185,585,52804,10/03/1979,Broken window,YES
186,57,49789,24/11/1986,Car died,YES
187,401,982,16/04/1961,Car died,NO
188,43,4,16/01/1983,Car died,NO
189,598,5678,02/08/1999,Weird noises,YES
190,4200,39,13/09/1982,Unhappy costumer,NO
191,41,658,22/01/1981,Car died,NO
192,9423,0,30/07/1962,Broken window,NO
193,882,278,28/09/1958,Broken window,YES
194,5704,6669,22/05/1996,Brakes are broken,NO
195,64918,29,13/04/1989,Lights are out,NO
196,8,1,01/07/1971,Brakes are broken,NO
197,771,277,10/04/1981,Car died,NO
198,21,7319,07/02/1960,Unhappy costumer,NO
199,21576,28,02/11/1971,Weird noises,YES
200,0,12,24/01/1958,Wants to rent a car,NO
201,9289,116,23/02/1994,Battery died,NO
202,334,67,25/03/1951,Unhappy costumer,NO
203,6126,3907,20/02/1963,Wants to extend renting period,NO
204,78436,644,28/03/1960,Flat tire,NO
205,95,58,25/01/1981,Wants to extend renting period,NO
206,7,652,09/01/1963,Broken window,YES
207,4,35986,15/11/1970,Weird noises,YES
208,2,5344,22/03/1994,Brakes are broken,NO
209,1,68,03/11/1955,Wants to extend renting period,YES
210,876,3,18/05/1980,Wants to update data,NO
211,5494,8154,27/03/1956,Weird noises,YES
212,18,750,20/11/1987,Unhappy costumer,YES
213,6,82,10/05/1972,Flat tire,NO
214,21,929,01/07/1999,Weird noises,NO
215,12936,6520,28/09/1984,Complaint about a worker,YES
216,87,499,14/05/1958,Complaint about a worker,YES
217,9836,307,13/01/1995,Broken window,NO
218,7,130,22/08/1957,Brakes are broken,NO
219,7,811,10/08/1995,Wants to extend renting period,NO
220,99912,90,19/12/1971,Car died,NO
221,653,572,16/02/1984,Car died,NO
222,77,2808,29/01/1964,Weird noises,YES
223,19,6,03/10/1973,Car died,YES
224,4389,45,16/11/1972,Unhappy costumer,YES
225,73679,73,16/05/1950,Flat tire,YES
226,42448,8617,10/01/1974,Problem with insurance,NO
227,9,25,21/08/1961,Brakes are broken,NO
228,87,11,15/03/1981,Wants to update data,NO
229,7,6221,27/01/1998,Brakes are broken,NO
230,2262,72466,28/06/1987,Problem with insurance,YES
