CostumerID,Reason
1,No license
2,Expired license
3,Couldn't pay
4,Couldn't pay
5,Couldn't pay
6,Wanted by the police
7,Expired license
8,Couldn't pay
9,Caused the company damage
10,Bad record
11,No insurance
12,Criminal record
13,Caused the company damage
14,No license
15,No insurance
16,Expired license
17,Couldn't pay
18,Criminal record
19,Criminal record
20,Expired license
21,Wanted by the police
22,Caused the company damage
23,No insurance
24,No insurance
25,Caused the company damage
26,Couldn't pay
27,Expired license
28,Bad record
29,No license
30,Criminal record
31,Criminal record
32,No license
33,Caused the company damage
34,No license
35,Expired license
36,No insurance
37,No insurance
38,Criminal record
39,Couldn't pay
40,No license
41,No insurance
42,No license
43,Expired license
44,Caused the company damage
45,Criminal record
46,Criminal record
47,No license
48,No insurance
49,No license
50,Caused the company damage
51,Couldn't pay
52,Expired license
53,Caused the company damage
54,No license
55,Couldn't pay
56,No insurance
57,Expired license
58,Bad record
59,Couldn't pay
60,Bad record
61,Caused the company damage
62,Expired license
63,Criminal record
64,Couldn't pay
65,Couldn't pay
66,No insurance
67,Caused the company damage
68,Bad record
69,Couldn't pay
70,Caused the company damage
71,No insurance
72,Bad record
73,Bad record
74,Wanted by the police
75,Couldn't pay
76,Wanted by the police
77,Bad record
78,No license
79,Expired license
80,Wanted by the police
81,Couldn't pay
82,Bad record
83,Criminal record
84,Bad record
85,Caused the company damage
86,Criminal record
87,Bad record
88,Couldn't pay
89,Expired license
90,Criminal record
91,Wanted by the police
92,Expired license
93,Wanted by the police
94,Couldn't pay
95,Criminal record
96,Criminal record
97,Caused the company damage
98,Expired license
99,No insurance
100,Criminal record
101,Expired license
102,Criminal record
103,Criminal record
104,Bad record
105,Wanted by the police
106,Bad record
107,Wanted by the police
108,No insurance
109,Criminal record
110,Couldn't pay
111,No license
112,Wanted by the police
113,No insurance
114,Caused the company damage
115,No insurance
116,Caused the company damage
117,Caused the company damage
118,Bad record
119,Caused the company damage
120,Couldn't pay
121,Expired license
122,No license
123,Caused the company damage
124,Couldn't pay
125,Criminal record
126,Expired license
127,No license
128,No license
129,Wanted by the police
130,Expired license
131,No insurance
132,Wanted by the police
133,Expired license
134,Wanted by the police
135,Wanted by the police
136,Wanted by the police
137,Caused the company damage
138,Criminal record
139,Caused the company damage
140,Caused the company damage
141,Expired license
142,Caused the company damage
143,No insurance
144,No insurance
145,Couldn't pay
146,Couldn't pay
147,Wanted by the police
148,Wanted by the police
149,Bad record
150,Caused the company damage
151,Criminal record
152,No insurance
153,Couldn't pay
154,Criminal record
155,Wanted by the police
156,Criminal record
157,Couldn't pay
158,No license
159,No insurance
160,Bad record
161,No license
162,Criminal record
163,No insurance
164,Criminal record
165,No insurance
166,Criminal record
167,Wanted by the police
168,Criminal record
169,Wanted by the police
170,Bad record
171,Bad record
172,Bad record
173,Criminal record
174,No license
175,No insurance
176,No license
177,Criminal record
178,No license
179,Wanted by the police
180,Caused the company damage
181,No insurance
182,No license
183,Criminal record
184,No insurance
185,Bad record
186,Expired license
187,Wanted by the police
188,Wanted by the police
189,No insurance
190,Caused the company damage
191,Wanted by the police
192,Caused the company damage
193,Caused the company damage
194,Expired license
195,Wanted by the police
196,No insurance
197,No insurance
198,Couldn't pay
199,Bad record
200,Expired license
201,No insurance
202,Bad record
203,Expired license
204,Wanted by the police
205,Wanted by the police
206,No license
207,Bad record
208,No insurance
209,No insurance
210,Expired license
211,Criminal record
212,Expired license
213,Wanted by the police
214,Expired license
215,Caused the company damage
216,Couldn't pay
217,Expired license
218,Caused the company damage
219,Criminal record
220,No license
221,Expired license
222,Criminal record
223,No license
224,Wanted by the police
225,Bad record
226,No insurance
227,Criminal record
228,Couldn't pay
229,Couldn't pay
230,No license
231,Expired license
232,No license
233,Caused the company damage
234,Couldn't pay
235,Caused the company damage
236,Criminal record
237,No insurance
238,Wanted by the police
239,Couldn't pay
240,No license
241,Couldn't pay
242,No license
243,Expired license
244,Criminal record
245,No insurance
246,Wanted by the police
247,No license
248,Couldn't pay
249,No license
250,Wanted by the police
251,Couldn't pay
252,No license
253,Caused the company damage
254,Wanted by the police
255,Bad record
256,No insurance
257,Wanted by the police
258,Criminal record
259,Criminal record
260,Criminal record
261,No insurance
262,No license
263,Criminal record
264,No insurance
265,No license
266,Expired license
267,Couldn't pay
268,No license
269,Couldn't pay
270,Couldn't pay
271,Criminal record
272,Expired license
273,No license
274,Expired license
275,Expired license
276,No insurance
277,Bad record
278,Expired license
279,Wanted by the police
280,No license
281,No insurance
282,Bad record
283,Expired license
284,Caused the company damage
285,Expired license
286,Caused the company damage
287,Caused the company damage
288,Caused the company damage
289,Criminal record
290,Criminal record
291,Wanted by the police
292,Bad record
293,Criminal record
294,Criminal record
295,Couldn't pay
296,No license
297,No license
298,Bad record
299,No license
300,Expired license
301,No license
302,No license
303,No insurance
304,No insurance
305,Criminal record
306,Criminal record
307,No insurance
308,No license
309,No license
310,No license
311,Bad record
312,Couldn't pay
313,Expired license
314,Expired license
315,Caused the company damage
316,No license
317,No license
318,Expired license
319,Couldn't pay
320,No license
321,No insurance
322,No license
323,Criminal record
324,Criminal record
325,Bad record
326,Expired license
327,Wanted by the police
328,No license
329,Caused the company damage
330,No insurance
331,No license
332,Wanted by the police
333,Couldn't pay
334,Couldn't pay
335,Bad record
336,Wanted by the police
337,Wanted by the police
338,Couldn't pay
339,Caused the company damage
340,Criminal record
341,Caused the company damage
342,Caused the company damage
343,Caused the company damage
344,No insurance
345,Wanted by the police
346,Criminal record
347,No license
348,Expired license
349,Expired license
350,Criminal record
351,Criminal record
352,Wanted by the police
353,No insurance
354,No insurance
355,Criminal record
356,Bad record
357,Bad record
358,Couldn't pay
359,Bad record
360,No license
361,Couldn't pay
362,Wanted by the police
363,Bad record
364,Criminal record
365,Bad record
