COMPLAINT_ID,WorkerID,COSTUMER_ID,Date,Reason,DealtWith
1,4890,34,17/03/1997,Broken window,NO
2,8815,96,27/04/1995,Wants to extend renting period,NO
3,57201,38,22/11/1987,Flat tire,NO
4,24,15,11/09/1976,Wants to extend renting period,NO
5,44393,89,21/01/1950,Problem with insurance,NO
6,7333,45,20/03/1998,Complaint about a worker,NO
7,22,44,29/09/1950,Unhappy costumer,NO
8,8918,70,29/05/1973,Car died,NO
9,63,23,13/08/1964,Wants to rent a car,NO
10,9,92,14/01/1986,Problem with insurance,YES
11,6,93,22/05/1970,Broken window,NO
12,6522,70,06/12/1990,Car died,NO
13,2396,24,09/09/1967,Problem with insurance,NO
14,8086,13,15/02/1972,Car died,NO
15,40,71,30/05/1970,Wants to rent a car,NO
16,549,12,24/03/1988,Flat tire,NO
17,9,13,11/04/1967,Problem with insurance,NO
18,1515,93,24/04/1999,Weird noises,NO
19,16861,59,21/07/1957,Wants to rent a car,NO
20,0,26,19/09/1972,Wants to update data,NO
21,31,24,07/02/1974,Unhappy costumer,NO
22,2628,13,04/06/1957,Wants to extend renting period,NO
23,1352,95,17/03/1953,Wants to extend renting period,NO
24,50,4,15/05/1992,Problem with insurance,NO
25,2,80,20/06/1995,Wants to update data,NO
26,8603,39,15/11/1978,Complaint about a worker,NO
27,895,62,16/03/1987,Flat tire,NO
28,4447,13,18/06/1972,Weird noises,NO
29,56,33,18/10/1994,Problem with insurance,NO
30,5421,17,19/05/1987,Battery died,NO
31,74538,11,25/05/1998,Unhappy costumer,NO
32,90,70,25/11/1959,Broken window,NO
33,1749,27,17/11/1997,Weird noises,NO
34,51,62,30/01/1960,Problem with insurance,NO
35,7894,11,23/04/1965,Problem with insurance,NO
36,96557,46,24/02/1950,Brakes are broken,NO
37,35,11,15/12/1959,Weird noises,NO
38,18,20,26/01/1974,Wants to extend renting period,NO
39,59,21,18/06/1968,Brakes are broken,NO
40,68,76,27/08/1986,Wants to update data,NO
41,2,30,23/09/1985,Problem with insurance,NO
42,7,40,18/01/1964,Wants to update data,NO
43,53,85,16/02/1983,Broken window,NO
44,655,61,23/03/1997,Flat tire,NO
45,7,86,11/01/1999,Wants to update data,NO
46,165,73,07/05/1957,Broken window,NO
47,263,100,04/01/1965,Problem with insurance,NO
48,7755,14,01/07/1974,Flat tire,NO
49,5,60,06/03/1986,Battery died,NO
50,7,8,15/01/1964,Complaint about a worker,NO
51,19956,83,04/08/1954,Wants to update data,NO
52,8,73,25/10/1971,Problem with insurance,NO
53,28,57,30/09/1959,Unhappy costumer,NO
54,113,50,28/01/1996,Car died,NO
55,80,20,12/09/1966,Wants to extend renting period,NO
56,8,79,23/02/1993,Battery died,NO
57,50,90,03/03/1978,Battery died,NO
58,80937,75,12/03/1998,Wants to extend renting period,NO
59,9608,80,30/11/1968,Problem with insurance,NO
60,6,43,13/08/1961,Wants to extend renting period,NO
61,113,11,21/04/1972,Unhappy costumer,NO
62,18,53,19/03/1971,Weird noises,NO
63,1,97,06/01/1983,Wants to rent a car,NO
64,74652,3,16/05/1959,Brakes are broken,NO
65,7409,16,03/08/1966,Wants to update data,NO
66,1,22,24/07/1982,Wants to rent a car,NO
67,417,22,01/08/1992,Weird noises,NO
68,95624,27,27/06/1956,Unhappy costumer,NO
69,60250,73,04/12/1968,Brakes are broken,NO
